,class,f1_score
3,normal,97.56965107199987
9,mitm,77.86259541984732
0,xss,74.01780468496223
5,ransomware,69.29110849710668
6,ddos,66.6058685854038
1,injection,55.09358693692251
2,password,55.08774081685216
4,scanning,45.27383571538293
8,dos,38.844885186236816
7,backdoor,34.55517624710743
