c_name,ACK Flag Count,ECE Flag Count,FIN Flag Count,Max Packet Length,Min Packet Length,PSH Flag Count,Packet Length Total,RST Flag Count,SYN Flag Count,dstport,ip.len,ip.proto,ip.ttl,srcport,tcp.flags.ack,tcp.flags.push,tcp.flags.rst,tcp.flags.syn,tcp.hdr_len,tcp.window_size_value,udp.length
backdoor,0.06697565961900578,0.009505412141189974,0.0053827374916890726,0.14602707015925862,0.12336427767223426,0.03307341648976026,0.07790552826982089,3.2712610423155823e-06,0.0878437696438669,0.08158784539753355,0.05744191423123291,6.826564170746064e-07,0.01787587123966178,0.17443103651378575,0.002625553957983565,1.1004546358258474e-05,8.069887213539691e-06,5.160039171467339e-05,0.04329251983029937,0.07258165318464867,1.1105415282587428e-05
ddos,0.02382550740435387,0.0068571034068926895,0.01779544382621058,0.13281147742780364,0.15104837239752372,0.024235358679025727,0.11742748041837149,0.01780514524165459,0.05812293779883033,0.07934351509829317,0.16507515001899267,3.811747057791103e-06,0.026502069953777973,0.01805267825937491,0.0068055206510579,0.005727728629563314,0.0006449860211549943,0.0009526276988498946,0.019074157778393594,0.030631886424572645,0.09725704111824468
dos,0.015060902835566754,0.001646093919621596,0.0031113531585856597,0.10576384120264677,0.018139770639835958,0.0049184974770535945,0.10617436456860682,0.0012897316617588696,0.01685302132618947,0.09077303395350293,0.07466517931066077,6.54119267213078e-06,0.09883606811139606,0.23778437008414544,0.011195347437305662,0.005218083660883305,0.001180508525417032,0.0467275899932569,0.014327754183799172,0.13705011771572959,0.009277829041365376
injection,0.021384169133510926,0.003707579500771543,0.016880033340752186,0.11307823103512439,0.04170747230103765,0.03861041064808118,0.13767552039400813,0.005918742008544881,0.01491803259139558,0.15842703183870857,0.06213427660751783,5.849570967315704e-07,0.041861845181965736,0.03573761461681145,0.021483087219014575,0.010611883682937964,0.0034232492981312404,0.006998105805132157,0.04440700750320723,0.19919021446757695,0.02184490786867309
mitm,0.026064477687510693,0.00244624120825163,0.04862327730258076,0.16106793494243793,0.01614453304107987,0.009381199635418211,0.1441670078659062,0.016135757823632278,0.00742714908999644,0.10027052564107493,0.039184281775255396,0.0,0.0023407256174419228,0.20634695077389267,0.0012570578692770978,0.002719198045647667,0.0005705873393509869,0.0005386779478935867,0.006200844841803074,0.20906608753594566,4.748401560292895e-05
normal,0.0040923659825216185,0.0017180548021803663,0.0017737383692371482,0.04263936396183638,0.03877908384260519,0.003192944569624888,0.03063298911819642,0.004414338808022514,0.0021688636052249618,0.08133155016776543,0.11387848787207655,0.012755885056406747,0.400923621717868,0.03941152276156699,0.015770712598748814,0.001398184278382212,0.0004703553885783085,0.003977493403280578,0.014519179198343092,0.08619180695304693,0.09995945754448682
password,0.012898009323174895,0.0022739166363492254,0.004503547309404956,0.08802385678001172,0.06949826299593975,0.0058151691430287054,0.1494958200628729,0.0041196497498333946,0.036084600344751555,0.3287867447201417,0.07661094387497792,0.008942404694077442,0.016531076323966172,0.03843963245476068,0.009998192530764434,0.0072202718379605875,0.0008548895374730248,0.014656215454491152,0.018499972888627668,0.05637836722537694,0.05036845611201538
ransomware,0.005121130217684039,1.873698877319102e-05,0.005239135039194937,0.30802528839692617,0.018398845152662248,0.01994290337207684,0.1735941007723226,0.0001606559926775444,0.011684398341726519,0.18904392315153165,0.025209471859383433,1.9115811992951612e-05,0.03720640820298977,0.09766900680811677,0.002394098707429735,0.011317668006523498,0.002833824191510665,0.000372650082480473,0.009613025311106553,0.07659429113817738,0.005541322454713018
scanning,0.003916994474583581,0.002520537389418872,0.002890767934573288,0.04967473262449731,0.0339221376832787,0.006148851596930907,0.06003076003342425,0.007917164881180641,0.009279989033946398,0.32763076126815077,0.14958979191815108,0.004261989105847526,0.11002672963660823,0.028693633498959505,0.0035308012639089304,0.008119767248544742,0.005243250704348468,0.0009925368476793404,0.07396789496263136,0.062038490591218805,0.04960241730211748
xss,0.013925667470066154,0.007439107164613559,0.0074876259521111065,0.14276996529918204,0.08461048446663981,0.012321793251053462,0.11208745537665395,0.009706567658348026,0.003912110063428419,0.063652101252727,0.20849868225261078,2.653200331570648e-06,0.03732322356724071,0.01857056685013558,0.006750848467475493,0.0028670817322142845,0.0006970786138068845,0.0029671341584911175,0.024569156298097843,0.09159999128988423,0.14824070561488803
