depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL
5;1;1;500;0.039617273452713396;0.059162543172562976;0.16197327959060703;['tcp.hdr_len'];0.0685216890762743;0.05529819188421243;0.01164214019930205;0.028639894319593538;0.0603760091306397;0.04933343005616048;1488248;0.016091926179595397;0.00732475809341414
5;1;2;500;0.09825686298055587;0.14019249971990808;0.22018589531643915;['tcp.hdr_len', 'srcport'];0.09268497766770234;0.14423817106234782;0.06141489602266518;0.15594748512562745;0.09043514932898389;0.14479214289771544;1488248;0.06049144417688321;0.1339308419538054
5;1;3;500;0.1103977389790352;0.21621105036164426;0.2683458033670189;['tcp.hdr_len', 'srcport', 'dstport'];0.10841938109291673;0.2199756704312149;0.09392004050075642;0.30260665173584883;0.10847307931383054;0.23458640294656868;1488248;0.11590258985980188;0.2555802863229492
5;1;4;500;0.10404997489794997;0.19101769478602681;0.2394880486551359;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst'];0.10013234476858017;0.18113705332800992;0.06399210321451491;0.23882638726745498;0.09898811919359303;0.19244542605418274;1488248;0.06751450908546831;0.17754660780813405
5;1;5;500;0.1025577232091764;0.24454796692466776;0.30204260450848064;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value'];0.105260621659239;0.24571291315152263;0.10232495867947565;0.32560115342068835;0.107511493110745;0.26136880898883813;1488248;0.07895050882920775;0.23550266262300174
5;1;6;500;0.09584172330954566;0.14613509261640276;0.2210811455111203;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl'];0.09275088707312214;0.13531768023949942;0.06266867283283141;0.16459143203647147;0.09256063915385881;0.14101873933666037;1488248;0.04039008463939391;0.025601550250787208
5;1;7;500;0.15209293852577482;0.313762446075829;0.34723727834737883;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len'];0.14786507823407555;0.3352801296861414;0.1412764553071653;0.41041962259994313;0.14967344257524492;0.34896325269478357;1488248;0.08681194169085256;0.20703001732805681
5;1;8;500;0.1347829417446921;0.2444908265776453;0.2897249396564613;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total'];0.0973054470100289;0.19414969642135058;0.18792269042276133;0.41789914000968353;0.12336849205681845;0.2539000609889585;1488248;0.1126969161297705;0.2295880771709615
5;1;9;500;0.1813633565807505;0.3023954989872121;0.3302823697817376;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length'];0.14925419492418002;0.265234259740308;0.13324653634425196;0.2878082327741581;0.15546188533037816;0.2735025082741741;1488248;0.09137563446777704;0.0946133898364779
5;1;10;500;0.14837885016085636;0.2458297894164074;0.3117452976576171;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max'];0.09988698759543328;0.16870981050882236;0.11428333574834655;0.32556869768300245;0.12050791316275283;0.21524953443610692;1488248;0.08161422714292532;0.2011831016064894
5;1;11;500;0.14768701768572995;0.2545135744004867;0.2917568254034985;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length'];0.11028722356348368;0.186238525935541;0.11816583591166045;0.370246762990323;0.13673478951720855;0.2516973930184402;1488248;0.07451466921152727;0.19939316120115957
5;1;12;500;0.14300250321281016;0.2828967235417956;0.3353381247121825;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn'];0.12652188681855012;0.2975661770086493;0.09727886862954542;0.29146043040298275;0.13300555369687775;0.30187188075161464;1488248;0.07956839425966944;0.13901065218741582
5;1;13;500;0.1594867862280579;0.34393380389845;0.37276900842314065;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count'];0.13337766024705233;0.32238556869165574;0.1275742727912417;0.40876875391844786;0.14290597171968653;0.3425256686819406;1488248;0.10346211714910007;0.2638802734580734
5;1;14;500;0.07574936732197908;0.14613981652520605;0.2345624722024377;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count'];0.04631419386938532;0.06890583245068237;0.07596403277431897;0.20713470906781287;0.06099666958005371;0.1071775112181377;1488248;0.03446663243494872;0.03954789790260438
5;1;15;500;0.15010015661051726;0.19865303450380595;0.2592596954348323;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count'];0.10609863507938279;0.1579238695721496;0.153030478588396;0.30065364692070035;0.13285180411733458;0.1910283696734218;1488248;0.07261467396871805;0.16466864320690155
5;1;16;500;0.13231777865264752;0.23291291363739194;0.28928221449124086;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean'];0.09318505473892398;0.1737688522651238;0.13488222910626477;0.32149733749073417;0.11090854375061732;0.20675268720702086;1488248;0.06573177326972311;0.11660069081710743
5;1;17;500;0.09426860007731529;0.22538438677938388;0.2838945962269431;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece'];0.06753167225487593;0.18222640917801877;0.11054899892405919;0.3659062242703289;0.0850677465821828;0.22432133251376413;1488248;0.06067429254859515;0.2085286558564499
5;1;18;500;0.09995083037563875;0.18403771199768557;0.26392036457006;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len'];0.0725144896553829;0.08344158285075391;0.07255588885401275;0.23086963887330483;0.0867285403347663;0.13634294581051837;1488248;0.06259132365839432;0.2374503096959833
5;1;19;500;0.18299759061442933;0.3353635275680856;0.35846966409012826;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto'];0.11355529835916407;0.24045956566080198;0.1799922042395116;0.5236300179880904;0.14633741587367863;0.31981651966216673;1488248;0.12111385915142199;0.2909872516322019
5;1;20;500;0.1591891895674273;0.24870879825571787;0.30212959686781715;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean'];0.08964613441678322;0.11263295596954435;0.13878535441974843;0.3603067898276025;0.11329047308662483;0.1804704412654772;1488248;0.10090316590984692;0.2987396955395659
5;1;21;500;0.1343036750066173;0.21236214082641458;0.26147593043462325;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean', 'UDP Len Min'];0.07708513435994678;0.122759674145344;0.15555778211250396;0.3278441653801247;0.1075736061058747;0.18489968527662548;1488248;0.10402330454533006;0.17792927764780692
5;1;22;500;0.11957220017917018;0.2768210884517686;0.32081335016861195;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean', 'UDP Len Min', 'UDP Len Max'];0.08498609955080304;0.20901129105902863;0.128941478622994;0.3779162261350822;0.10440701184979623;0.2559989317400101;1488248;0.08094934811710346;0.21070773977772092
5;1;23;500;0.1956392343206287;0.30093314439932;0.3655638465462352;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean', 'UDP Len Min', 'UDP Len Max', 'Flow IAT Min'];0.10429608121481264;0.23315233532477234;0.21935432534833654;0.43860120605517;0.14890074805878903;0.2896917422916415;1488248;0.15475370242058864;0.3352296019443403
5;1;24;500;0.12593440054132712;0.15477475486468512;0.22436853895388142;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean', 'UDP Len Min', 'UDP Len Max', 'Flow IAT Min', 'tcp.flags.fin'];0.07210609338178652;0.13328076458025795;0.15279044952901588;0.23818719874287572;0.10593963796534474;0.169468268314458;1488248;0.07538908119015515;0.03409609315878568
5;1;25;500;0.1607516762715783;0.25540534614016436;0.28071375999714093;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean', 'UDP Len Min', 'UDP Len Max', 'Flow IAT Min', 'tcp.flags.fin', 'Flow Duration'];0.055743626182796165;0.04102887119041106;0.17912373447844585;0.44152361261507816;0.10681360371865496;0.15610197203409348;1488248;0.11767741409595689;0.30810439335394496
5;1;26;500;0.13599595017092256;0.2351276136762284;0.30191224011312245;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean', 'UDP Len Min', 'UDP Len Max', 'Flow IAT Min', 'tcp.flags.fin', 'Flow Duration', 'SYN Flag Count'];0.11119188602531282;0.18733554808030684;0.09215108302224671;0.29273343812360336;0.12071915401775302;0.21486833955925763;1488248;0.07376245139921718;0.2740793443553417
5;1;27;500;0.10411359851607273;0.2343546325467465;0.27922315843485507;['tcp.hdr_len', 'srcport', 'dstport', 'tcp.flags.rst', 'tcp.window_size_value', 'ip.ttl', 'ip.len', 'Packet Length Total', 'udp.length', 'Flow IAT Max', 'Max Packet Length', 'tcp.flags.syn', 'PSH Flag Count', 'ACK Flag Count', 'ECE Flag Count', 'Flow IAT Mean', 'tcp.flags.ece', 'ip.hdr_len', 'ip.proto', 'Packet Length Mean', 'UDP Len Min', 'UDP Len Max', 'Flow IAT Min', 'tcp.flags.fin', 'Flow Duration', 'SYN Flag Count', 'tcp.flags.push'];0.06986136650836414;0.1811518794621068;0.10999826713386934;0.34293630257132807;0.09033298097800664;0.23826120174567286;1488248;0.07084183836642977;0.20646136350266875
